"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"LMNB1" 0.908360264832268 6.12339819827553 7.09291971484571 5.22166516224405e-08 0.000338207759834059 8.44514341054078
"SBNO2" 0.854553075370636 7.96396916927217 7.05914825335076 5.73622387778255e-08 0.000338207759834059 8.35449276322223
"TRAPPC1" 0.402194568539613 5.85832754951877 6.52002826762108 2.61041343902549e-07 0.000769549881824714 6.90489875961739
"ZNF542P" -1.01271902286646 1.75829019210269 -6.8669169107273 9.81551948344982e-08 0.000385815352496134 6.83997973958165
"JAK3" 0.748694399212412 8.12368482522905 6.32549261950379 4.53795974798373e-07 0.00101223657033865 6.37541546711519
"GAS6" 1.3616162397075 4.38111915273178 6.16020429147268 7.27529633189552e-07 0.00101223657033865 5.91856915232704
"FCGR1A" 1.5063425689413 4.53288700538433 6.15396301814158 7.40639034084825e-07 0.00101223657033865 5.90531302528108
"MTHFD2" 0.616658995803581 5.38074942616914 6.13972398690779 7.71445358207043e-07 0.00101223657033865 5.87040109801787
"CNN2" 0.486190179561003 8.53547850161319 6.06242237147937 9.62680991636374e-07 0.00101223657033865 5.65630792070747
"MAPK11" 0.864311753741394 3.13995653373679 6.06777154667148 9.48029969833561e-07 0.00101223657033865 5.55265915739936
"BCORP1" -0.906191358720269 3.10917717018676 -6.03882223210987 1.03009148948981e-06 0.00101223657033865 5.41191330028516
"HIPK1.AS1" -0.835899674014594 2.08572733026499 -6.13461947685922 7.82800739144245e-07 0.00101223657033865 5.33048463089585
"ZNF652" -0.322749485693103 5.91312880138722 -5.88760213873219 1.59047287665455e-06 0.0012503237441007 5.17452991824718
"KREMEN1" 1.95223479789935 2.29665452424 5.93284478193828 1.39647050619254e-06 0.0012503237441007 5.01230855467684
"MPDU1" 0.466557903506331 5.21248604805818 5.8132602946651 1.96990919300241e-06 0.00135886305411321 4.97750210060256
"ETFA" 0.380147333320636 5.23177287958748 5.79533964449396 2.07424821692993e-06 0.00135886305411321 4.92811009012369
"POMP" 0.484002236585437 5.16969099096588 5.74508934978077 2.39740623763398e-06 0.00140696064775471 4.79088185030948
"ZNF554" -0.785234070326906 2.43117034223193 -5.85940956068895 1.72485105837655e-06 0.00127121523002351 4.78982511514661
"LIMK2" 1.02209403950885 5.85696450721309 5.72929634709226 2.50907029429066e-06 0.00140696064775471 4.73747572237248
"TFRC" 0.678222539926426 7.25381913425106 5.70190084235104 2.7153029019807e-06 0.00140696064775471 4.65686761327542
"B4GALT5" 0.781227263613411 6.74843285162757 5.69822485494012 2.74424142625155e-06 0.00140696064775471 4.64589820928232
"FCGR1BP" 1.49609481760335 2.68776116102133 5.74005591409938 2.43244226181351e-06 0.00140696064775471 4.6239348620687
"CEP126" -1.44802156414183 1.75202682979697 -5.90294943904141 1.52179896137085e-06 0.0012503237441007 4.61143108661307
"PGS1" 0.722494647712045 6.21264886129354 5.68147882787817 2.88004009654927e-06 0.00141505970077121 4.60129474435369
"NANS" 0.593260707338843 5.06010242258496 5.65405632450283 3.11714222233284e-06 0.00142028101415679 4.54249508579452
"GPI" 0.288134145362624 7.28991112953692 5.63870556544557 3.25832330024863e-06 0.00142028101415679 4.48171572814341
