pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
cell cycle and transcription (M4.0),0.000163639338897071,0.00204284313478993,0.682560452369475,3.53872260226224,0,233,LMNB1|FCGR1A|SECTM1|E2F2|MYOF|TK1|SHCBP1|TYMP|TYMS|SLC11A1|SERPINA1|LILRB1|HMOX1|SORT1|LILRB2|CKS1B|CENPE|FCER1G|S100A11|ESPL1|SLC31A2|CCNB2|FPR1|MYBL2|LILRA2|FOXM1|KIF11|RRM2|ITGAX|AURKB|SPI1|BUB1|AIF1|HJURP|MCM5|BUB1B|FCGR2A|CENPF|LILRA1|MKI67|TPX2|GCA|HCK|CDT1|TLR2|LILRB3|LRRC25|NPL|GMNN|CYBB|ASF1B|PCNA|ZWINT|PTTG1|UHRF1|RBM47|ALOX5|STAB1|TIMP2|TLR8|BIRC5|FGR|HSPA6|WDFY3|S100A12|CD14|TBXAS1|LMO2|RAB31|PLK1|CDCA5|LILRA6|KIFC1|ASPM|CHEK1|MCM4|GRN|PLBD1|BRCA1|APOBEC3A|CENPN|ARHGAP11A|FES|TOP2A|PLXNB2|RIN2|S100A9|TACC3|SIRPA|CHST15|FEN1|CCR1|LST1|GPSM2|STIL|NOD2|NCAPG|CD86|MCM2|CSF1R|EZH2|PILRA|FCN1|CPPED1|TNS3|KIF23|ASGR2|RACGAP1|GINS4|PAICS|TYROBP|DAPK1|NCF2|CD36|GLT1D1|CSTA|KYNU|CD163|HPSE|CD300LF|SLC7A7|TMPO|IGSF6|IFI30|IRAK3|SYK|CENPW|ASGR1|CD93|TNFSF13|RNF130|RFC4|DHFR|STMN1|CCNF|EPB41L3|PLK4|SCPEP1|CPVL|SMC2|MAFB|PRKCD|ECT2|C5AR1|PTAFR|NCAPH|VCAN|LMNB2|CST3|FGL2|TIMELESS|KNTC1|SPAG5|CDCA7|CD33|SLC15A3|FANCI|CFD|TLR4|CTSH|DONSON|DMXL2|TIPIN|SEMA4A|CLEC7A
cell cycle (I) (M4.1),0.000175500175500176,0.00204284313478993,0.677429672032496,3.00481422609515,0,85,E2F2|TYMS|CKS1B|CENPE|ESPL1|TUBG1|CCNB2|MYBL2|FOXM1|KIF11|RRM2|AURKB|BUB1|HJURP|MCM5|BUB1B|CENPF|MKI67|TPX2|CDT1|GMNN|PCNA|ZWINT|PTTG1|UHRF1|BIRC5|PLK1|CDCA5|KIFC1|ASPM|CHEK1|MCM4|BRCA1|CENPN|TOP2A|TACC3|FEN1|RANBP1|GPSM2|NCAPG|MCM2|KIF23|RACGAP1|GINS4|CENPW|PRKAR2B|RFC4|DHFR|STMN1|CCNF|PLK4|SMC2|ECT2|NCAPH|TIMELESS|KNTC1|SPAG5|FANCI
PLK1 signaling events (M4.2),0.000189429816253078,0.00204284313478993,0.812311604375988,2.53029829115121,0,18,CLSPN|CENPE|ESPL1|TUBG1|MYBL2|BUB1|HJURP|BUB1B|TPX2|ASF1B|PLK1|ASPM|NCAPG|KIF23
myeloid cell enriched receptors and transporters (M4.3),0.000186323830817962,0.00204284313478993,0.655547808532714,2.2886834024778,0,28,SECTM1|MYOF|SLC8A1|LILRA1|LRRC25|TLR8|CD14|SLC2A6|CHST15|CCR1|CD86|SLC7A7|IGSF6|ASGR1|MARCO|SLC15A3|SLC24A4|GPBAR1|SIGLEC7|TLR5
mitotic cell cycle (M4.7),0.000188928773852258,0.00204284313478993,0.734754086165372,2.03690920867632,0,12,SHCBP1|TUBG1|CCNB2|PKMYT1|FOXM1|CEP152|CDT1|PLK1
mitotic cell division (M6),0.000188928773852258,0.00204284313478993,0.775572426354986,2.29505772636889,0,15,CENPE|AURKB|BUB1|BUB1B|CENPF|ZWINT|BIRC5|PLK1|CENPN
E2F transcription factor network (M8),0.00019485580670304,0.00204284313478993,0.911173326546195,1.89460404448615,0,5,E2F2|ZWINT|E2F1|CDCA5|BRCA1
enriched in monocytes (II) (M11.0),0.000166694449074846,0.00204284313478993,0.653700597090253,3.27322817175485,0,177,FCGR1A|SECTM1|SMPDL3A|MYOF|HK3|TYMP|SLC11A1|SERPINA1|LILRB1|SORT1|LILRB2|LILRA5|FPR2|FCER1G|S100A11|SLC31A2|FPR1|ADAP2|LILRA2|ITGAX|SPI1|AIF1|MS4A4A|FCGR2A|RNASE2|LILRA1|GCA|HCK|CYFIP1|TLR2|LILRB3|IFNGR2|CYBB|BLVRB|RBM47|ALOX5|PYGL|STAB1|TIMP2|TLR8|S100A8|FGR|HSPA6|S100A12|CD14|NFE2|LYN|TBXAS1|LMO2|RAB31|BTK|AQP9|LILRA6|GRN|PLBD1|IMPA2|SIGLEC9|FES|VNN2|PLXNB2|RIN2|S100A9|SIRPA|CHST15|CCR1|LST1|NOD2|CD86|CSF1R|PILRA|FCN1|F13A1|CPPED1|TNS3|ASGR2|TYROBP|NCF2|CD36|MS4A7|GLT1D1|CSTA|PLXDC2|KYNU|CD163|HPSE|SLC7A7|LRP1|IGSF6|IFI30|IRAK3|SYK|ASGR1|CD93|TNFSF13|SIRPB1|NRGN|RNF130|EPB41L3|SCPEP1|CPVL|MAFB|PRKCD|MGST1|C5AR1|PTAFR|CST3|GAS2L1|FGL2|CD33|SLC15A3|PRAM1|CFD|ANPEP|BST1|TLR4|CTSH|KCNE3|DMXL2|CLEC7A|ITGAM|RXRA|KLF4|MS4A6A|SIGLEC7|NCF1C|LAT2|MNDA|CSF2RA|NCF1|TLR5|CRISPLD2|CDA|TFEC|LY86|CFP|FCGRT|AOAH
blood coagulation (M11.1),0.000186011904761905,0.00204284313478993,0.723050984637481,2.3518050708121,0,21,SLC16A3|SERPINA1|FCER1G|ITGAX|LYN|PECAM1|SIRPA|PSAP|F13A1|CD36|F5|SLC7A7|SYK|GNB4|P2RX1|CFD|ITGAM
TLR and inflammatory signaling (M16),0.000182748538011696,0.00204284313478993,0.741443550570234,2.82372723566825,0,40,MYD88|LILRB1|LILRB2|FPR2|FPR1|ITGAX|DYSF|TLR2|LILRB3|NPL|ALOX5|TLR1|TLR8|FGR|HSPA6|WDFY3|NFE2|AQP9|LILRA6|SIGLEC9|FES|PILRA|TYROBP|LY96|FCGR2C|IRAK3|C5AR1|NCF4|ANPEP|TLR7|BST1|TLR4|MGAM
